reaction,Bsubtilis,Ecoli,Gmetallireducens,Kpneumoniae,Scerevisiae
SLCYSS,0,NA,NA,NA,NA
SULR_1,0,NA,NA,NA,NA
LAAL1,0,NA,NA,NA,NA
LAAL3,0,NA,NA,NA,NA
LAAL4,0,NA,NA,NA,NA
HCO3E,0,1,0,0,0
ALCD19y,0,NA,NA,NA,0
ALCD19_L,0,NA,NA,NA,NA
MEPCT,13,2,2,11,NA
BTS_1,0,NA,NA,NA,NA
LDH2,0,NA,NA,NA,NA
DAPE,3,0,0,0,NA
LYSDC,0,0,NA,0,NA
FORAMD,0,NA,NA,0,NA
IZPN_1,2,NA,NA,NA,NA
GALKr,0,0,NA,0,0
G1PPDM,0,NA,NA,NA,NA
GLCP,0,0,0,0,0
GLGC,1,1,2,1,NA
PGMT,0,0,0,0,0
PGAMT,0,0,0,0,0
LAAL41,0,NA,NA,NA,NA
LAAL8,0,NA,NA,NA,NA
MTHFD,0,0,0,0,0
ACCOAC,0,0,0,0,0
DPCOAK,0,0,0,0,0
G3POA_BS,0,NA,NA,NA,NA
HIBHr,3,NA,NA,NA,NA
KAS1,0,NA,NA,NA,NA
KAS10,0,NA,NA,NA,NA
KAS11,0,NA,NA,NA,NA
KAS12,0,NA,NA,NA,NA
KAS13,0,NA,NA,NA,NA
KAS17,0,NA,NA,NA,NA
KAS2,0,NA,NA,NA,NA
KAS3,0,NA,NA,NA,NA
KAS4,0,NA,NA,NA,NA
KAS5,0,NA,NA,NA,NA
KAS6,0,NA,NA,NA,NA
KAS7,0,NA,NA,NA,NA
KAS8,0,NA,NA,NA,NA
KAS9,0,NA,NA,NA,NA
MALTATr,0,0,NA,0,NA
THRD,0,0,NA,0,NA
URCN,3,NA,NA,3,NA
DHAD3,0,NA,NA,NA,NA
NADK5,0,NA,NA,NA,NA
NADK3,0,NA,NA,NA,NA
CYTK2,0,0,0,0,0
NADK4,0,NA,NA,NA,NA
G5SADs,0,0,0,0,2
PRO1x,0,NA,NA,NA,NA
PNTK,0,0,0,0,0
PPCDC,0,3,0,3,2
PRAIS_1,2,NA,NA,NA,NA
